id,name,description,allergens,gender,price
1,[Bundle of 2] **Bausch + Lomb Renu Sensitive Multi-Purpose Solution 355mlx2 (2x121078505),Multi-purpose solution for sensitive eyes.,Not-Known,Unisex,MYR 55.00
2,[Bundle of 6] Glucerna Chocolate 800g (2x121107369),Nutritional supplement for diabetic patients.,Not-Known,Unisex,MYR 768.00
3,[Bundle of 6] Glucerna Triple Care Vanilla 800g (6x121088392),Nutritional supplement for diabetic patients.,Not-Known,Unisex,MYR 768.00
4,[Bundle of 6] Glucerna Wheat 800g (2x121109311),Nutritional supplement for diabetic patients.,Wheat,Unisex,MYR 768.00
5,[Bundle of 2] Bausch + Lomb Renu Fresh Multi-Purpose Solution 355ml x 3 (2x121078472),Multi-purpose solution for contact lenses.,Not-Known,Unisex,MYR 78.00
6,[Bundle of 3] Anlene Total 10 800g (3x121116212),Calcium supplement for bone health.,Dairy,Unisex,MYR 158.00
7,[Bundle of 6] Ensure Gold Wheat 800g (6x121101501),Nutritional supplement for elderly individuals.,Wheat,Unisex,MYR 618.00
8,[Bundle of 6] Ensure Gold Vanilla 800g (6x121101500),Nutritional supplement for elderly individuals.,Dairy,Unisex,MYR 618.00
9,Thomson Probigut Kombucha Berries Powder 2G X 30 Sachets,Probiotic supplement for gut health.,Not-Known,Unisex,MYR 250.00
10,Anlene Actifit 3X 600G,Calcium supplement for bone health.,Dairy,Unisex,MYR 21.50
11,Anmum Materna Choc 650G,Maternal milk powder.,Dairy,Female,MYR 42.40
12,Anmum Materna Plain 650G,Maternal milk powder.,Dairy,Female,MYR 42.40
13,Anmumlac Infant Formula Step 2 600G,Infant formula for stage 2.,Dairy,Unisex,MYR 70.60
14,Anmumlac Infant Formula Step 1 600G,Infant formula for stage 1.,Dairy,Unisex,MYR 76.90
15,Woods Pepperrmint Lozenges Sugar Free Lemon 12G,Sugar-free throat lozenges.,Not-Known,Unisex,MYR 2.50
16,Ecolite Cny Bird'S Nest With White Fungus & Ginseng 70ml X 6'S,Nutritional supplement with bird's nest white fungus and ginseng.,Not-Known,Unisex,MYR 78.00
17,Dr Med Ventilated Lo With Side Cross Strap Waist Support Xl,Ventilated waist support.,Not-Known,Unisex,MYR 116.90
18,Dr Med Ventilated Lo With Side Cross Strap Waist Support L,Ventilated waist support.,Not-Known,Unisex,MYR 116.90
19,Dr Med Ventilated Lo With Side Cross Strap Waist Support M,Ventilated waist support.,Not-Known,Unisex,MYR 116.90
20,Dr Med Ventilated Lo With Side Cross Strap Waist Support S,Ventilated waist support.,Not-Known,Unisex,MYR 116.90
21,Dr Med Arm Sling Adult,Arm sling for adults.,Not-Known,Unisex,MYR 27.50
22,Dr Med Posture Corrective Control Support Mild L,Posture corrective support.,Not-Known,Unisex,MYR 110.80
23,Kplass Knee Pain Relief Patch 2Sx12,Patch for knee pain relief.,Not-Known,Unisex,MYR 238.80
24,Kplass Pain Relief Patch 2Sx12,Patch for general pain relief.,Not-Known,Unisex,MYR 202.80
25,Salonpas Fda Large Plaster 3S,Large plaster for pain relief.,Not-Known,Unisex,MYR 17.82
26,Optimum Nutrition Think Bar Lemon Delight 60G X 10PK,Nutritional bar with lemon flavor.,Not-Known,Unisex,MYR 129.00
27,Optimum Nutrition Think Bar Chocolate Fudge 60G X 10PK,Nutritional bar with chocolate flavor.,Not-Known,Unisex,MYR 129.00
28,Optimum Nutrition Serious Mass Choc 2.72Kg,Weight gainer supplement with chocolate flavor.,Dairy,Unisex,MYR 209.00
29,Optimum Nutrition 100% Whey Gold Standard Choc 454G,Whey protein supplement with chocolate flavor.,Dairy,Unisex,MYR 119.00
30,Optimum Nutrition Creatine 300G,Creatine supplement.,Not-Known,Unisex,MYR 129.00
31,Cebion Immucombi Tablets 30S,Immune support tablets with vitamin C.,Not-Known,Unisex,MYR 63.80
32,Neurobion Value Pack 60Sx2,Vitamin B complex supplement.,Not-Known,Unisex,MYR 95.90
33,Solusolv Haemorrhoids Relief 40,Relief for hemorrhoids.,Not-Known,Unisex,MYR 51.00
34,Solusolv Haemorrhoids Relief 40Sx2,Relief for hemorrhoids.,Not-Known,Unisex,MYR 82.50
35,Clearogout 30Sx2 Free 15S,Relief for gout.,Not-Known,Unisex,MYR 56.00
36,Sambucol Black Elderberry Original 120mlx2 Foc Gwp,Elderberry supplement.,Not-Known,Unisex,MYR 114.21
37,Holistic Way Children'S Eye Lutein Gummy 90S,Eye health supplement for children in gummy form.,Not-Known,Children,MYR 92.65
38,Holistic Way Children'S Omega 3 Gummy 90S,Omega-3 supplement for children in gummy form.,Not-Known,Children,MYR 92.65
39,Holistic Way Children'S Calcium & D3 Gummy 90S,Calcium and vitamin D supplement for children in gummy form.,Not-Known,Children,MYR 92.65
40,Holistic Way Children'S Vitamin C & Zinc Gummy 90S,Vitamin C and zinc supplement for children in gummy form.,Not-Known,Children,MYR 92.65
41,Shooot 3In1 Condom 3Pcs,Condom with 3-in-1 features.,Not-Known,Unisex,MYR 6.84
42,Shooot Ribbed Condom 3Pcs,Ribbed condom for enhanced pleasure.,Not-Known,Unisex,MYR 5.76
43,Shooot Dotted Condom 3Pcs,Dotted condom for enhanced sensation.,Not-Known,Unisex,MYR 5.76
44,Shooot Basic Condom 3Pcs,Basic condom for safe sex.,Not-Known,Unisex,MYR 4.14
45,"Kinohimitsu Premium Abalone Gift Set (Abalone With Truffle 180G X 2'S, Abalone With Scallop 425G X 2’S, Bjow 425G X 1'S)",Premium abalone gift set.,Shellfish,Unisex,MYR 198.00
46,BRAND'S® CNY Essence of Chicken with Cordycep Gift Pack 12 x 70g + 1 x 70g,Essence of chicken with cordyceps gift pack.,Not-Known,Unisex,MYR 81.80
47,Nugevity Complete Plant-Based Protein 7 Sachets,Plant-based protein supplement.,Not-Known,Unisex,MYR 103.92
48,Nugevity Complete Plant-Based Protein 681G,Plant-based protein supplement.,Not-Known,Unisex,MYR 215.92
49,Vellgoood Flexi Goood Orange + Turmeric + Pomegranet 2G X 15 Sachets,Orange turmeric and pomegranate beverage mix.,Not-Known,Unisex,MYR 76.50
50,Vellgoood Digex Goood Beverage Apple + Probiotic 2G X 15 Sachets,Apple-flavored beverage with probiotics.,Not-Known,Unisex,MYR 76.50
51,Vellgoood Screen-I-Shield Lutein + Zexanthin 2G X 15 Sachtes,Lutein and zeaxanthin supplement.,Not-Known,Unisex,MYR 76.50
52,Vellgoood Junior Optifriends Marigold + Vit A 2G X 15 Sachets,Marigold and vitamin A supplement for children.,Not-Known,Children,MYR 63.75
53,Vellgoood Junior Kold-Kare Vit C + Elderberry 20G X 15 Sachets,Vitamin C and elderberry supplement for children.,Not-Known,Children,MYR 63.75
54,Vellgoood Junior Respiragoood Vit C + Tiger Mushroom 2G X 15 Sachets,Vitamin C and tiger mushroom supplement for children.,Not-Known,Children,MYR 63.75
55,Holistic Way Multi Vitamins Gummies 60S,Multi-vitamin gummies for adults.,Not-Known,Unisex,MYR 92.65
56,Holistic Way Vitamin D3 400Iu Gummies 60S,Vitamin D3 supplement in gummy form.,Not-Known,Unisex,MYR 92.65
57,Holistic Way Elderbery Immune Gummies 60S,Elderberry immune support gummies.,Not-Known,Unisex,MYR 92.65
58,Holistic Way Collagen Radiant Gummies 60S,Collagen supplement in gummy form.,Not-Known,Unisex,MYR 109.00
59,Optimum Nutrition Creatine 300G,Creatine supplement.,Not-Known,Unisex,MYR 129.00
60,Cebion Immucombi Tablets 30S,Immune support tablets with vitamin C.,Not-Known,Unisex,MYR 63.80
61,Neurobion Value Pack 60Sx2,Vitamin B complex supplement.,Not-Known,Unisex,MYR 95.90
62,Solusolv Haemorrhoids Relief 40,Relief for hemorrhoids.,Not-Known,Unisex,MYR 51.00
63,Solusolv Haemorrhoids Relief 40Sx2,Relief for hemorrhoids.,Not-Known,Unisex,MYR 82.50
64,Clearogout 30Sx2 Free 15S,Relief for gout.,Not-Known,Unisex,MYR 56.00
65,Sambucol Black Elderberry Original 120mlx2 Foc Gwp,Elderberry supplement.,Not-Known,Unisex,MYR 114.21
66,Holistic Way Children'S Eye Lutein Gummy 90S,Eye health supplement for children in gummy form.,Not-Known,Children,MYR 92.65
67,Holistic Way Children'S Omega 3 Gummy 90S,Omega-3 supplement for children in gummy form.,Not-Known,Children,MYR 92.65
68,Holistic Way Children'S Calcium & D3 Gummy 90S,Calcium and vitamin D supplement for children in gummy form.,Not-Known,Children,MYR 92.65
69,Holistic Way Children'S Vitamin C & Zinc Gummy 90S,Vitamin C and zinc supplement for children in gummy form.,Not-Known,Children,MYR 92.65
70,Shooot 3In1 Condom 3Pcs,Condom with 3-in-1 features.,Not-Known,Unisex,MYR 6.84
71,Shooot Ribbed Condom 3Pcs,Ribbed condom for enhanced pleasure.,Not-Known,Unisex,MYR 5.76
72,Shooot Dotted Condom 3Pcs,Dotted condom for enhanced sensation.,Not-Known,Unisex,MYR 5.76
73,Shooot Basic Condom 3Pcs,Basic condom for safe sex.,Not-Known,Unisex,MYR 4.14
74,"Kinohimitsu Premium Abalone Gift Set (Abalone With Truffle 180G X 2'S, Abalone With Scallop 425G X 2’S, Bjow 425G X 1'S)",Premium abalone gift set.,Shellfish,Unisex,MYR 198.00
75,BRAND'S® CNY Essence of Chicken with Cordycep Gift Pack 12 x 70g + 1 x 70g,Essence of chicken with cordyceps gift pack.,Not-Known,Unisex,MYR 81.80
76,Nugevity Complete Plant-Based Protein 7 Sachets,Plant-based protein supplement.,Not-Known,Unisex,MYR 103.92
77,Nugevity Complete Plant-Based Protein 681G,Plant-based protein supplement.,Not-Known,Unisex,MYR 215.92
78,Vellgoood Flexi Goood Orange + Turmeric + Pomegranet 2G X 15 Sachets,Orange turmeric and pomegranate beverage mix.,Not-Known,Unisex,MYR 76.50
79,Vellgoood Digex Goood Beverage Apple + Probiotic 2G X 15 Sachets,Apple-flavored beverage with probiotics.,Not-Known,Unisex,MYR 76.50
80,Vellgoood Screen-I-Shield Lutein + Zexanthin 2G X 15 Sachets,Lutein and zeaxanthynot-Known,Unisex,MYR 76.50
81,Vellgoood Junior Optifriends Marigold + Vit A 2G X 15 Sachets,Marigold and vitamin A supplement for children.,Not-Known,Children,MYR 63.75
82,Vellgoood Junior Kold-Kare Vit C + Elderberry 20G X 15 Sachets,Vitamin C and elderberry supplement for children.,Not-Known,Children,MYR 63.75
83,Vellgoood Junior Respiragoood Vit C + Tiger Mushroom 2G X 15 Sachets,Vitamin C and tiger mushroom supplement for children.,Not-Known,Children,MYR 63.75
84,Holistic Way Multi Vitamins Gummies 60S,Multi-vitamin gummies for adults.,Not-Known,Unisex,MYR 92.65
85,Holistic Way Vitamin D3 400Iu Gummies 60S,Vitamin D3 supplement in gummy form.,Not-Known,Unisex,MYR 92.65
